,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
133,"If I Can't Have You","Shawn Mendes",16258,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
134,"How Do You Sleep?","Sam Smith",15987,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
135,Bruises,"Lewis Capaldi",15969,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
136,"Girls Need Love (with Drake) - Remix","Summer Walker",15930,https://open.spotify.com/track/14SaZBTjxlorHJQxXh01Hu
137,"What A Man Gotta Do","Jonas Brothers",15861,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
138,"OUT WEST (feat. Young Thug)",JACKBOYS,15857,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
139,"All of Me","John Legend",15855,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
140,"Let Me Love You",Mario,15812,https://open.spotify.com/track/7GaFYUqP2WdR4KTPk7cXoP
141,"What You Know Bout Love","Pop Smoke",15762,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
142,"Into Ingawe","Sun-El Musician",15704,https://open.spotify.com/track/428JKI7aO86RjJh0uqG9fg
143,"the 1","Taylor Swift",15680,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8
144,"Into You (feat. Tamia) - Main Mix",Fabolous,15638,https://open.spotify.com/track/1Jm1I3APcmVz3MqPr5vfTx
145,ZOL,"Max Hurrell",15584,https://open.spotify.com/track/1XtgF9N4G9xDiYiVfu3cID
146,ALREADY,Beyoncé,15565,https://open.spotify.com/track/6tgEc2O1uFHcZDKPoo6PC8
147,"When I See U",Fantasia,15524,https://open.spotify.com/track/4iuNZTcvT9diFySSzVsnVS
148,"Best Part (feat. Daniel Caesar)",H.E.R.,15512,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
149,"Electric Love",BØRNS,15391,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
150,"MIDDLE CHILD","J. Cole",15389,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
151,"Do It","Chloe x Halle",15375,https://open.spotify.com/track/35Dh5MnCUPLN3XyAVtQff3
152,"The Middle",Zedd,15251,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
153,"LIKE I WANT YOU",Giveon,15220,https://open.spotify.com/track/6qBFSepqLCuh5tehehc1bd
154,"Jerusalema (feat. Burna Boy & Nomcebo Zikode) - Remix","Master KG",15199,https://open.spotify.com/track/6Qa0wHpaiaIzXgMptP3rxV
